Filename,Company,Year,MD&A_Text,StartPage,EndPage,Method
5267070319.pdf,Alcheimist,2018-19,,,,failed
67050526707.pdf,Alcheimist,2019-20,,,,failed
5210700315.pdf,ALok,,,,,failed
5210700316.pdf,ALok,2015-16,,,,failed
5210700317.pdf,ALok,2016-17,,,,failed
5210700318.pdf,ALok,2017-18,,,,failed
5210760315.pdf,Amit spinning,2014-15,,,,failed
5210760316.pdf,Amit spinning,2015-16,,,,failed
5210760317.pdf,Amit spinning,2016-17,,,,failed
5210760318.pdf,Amit spinning,2017-18,,,,failed
5200770316.pdf,Amtek,2015-16,,,,failed
5200770317.pdf,Amtek,2016-17,,,,failed
5200770318.pdf,Amtek,2017-18,,,,failed
5200770915.pdf,Amtek,2014-15,,,,failed
